name,unit_code,unit_name,code
Health Science Center,4510,Rural And Community Health Institute,DHS,Rural & Community Health Institute
Health Science Center,4120,Facilities & Safety Administration,DHS,Facilities & Safety Administration
Health Science Center,4240,Clinical Learning Resource Center,DHS,Clinical Learning Resource Center
Health Science Center,4450,Clinical Strategy,DHS,Clinical Strategy
Health Science Center,4540,Center For Innovation In Advanced Development & Manufacturing,DHS,Center For Innovation In Advanced Development & Manufacturing
Health Science Center,5000,Coastal Bend Health Education Center,DHS,Coastal Bend Health Education Center
Health Science Center,4100,Finance And Administration,DHS,Finance And Administration
Health Science Center,4070,Healthy Texas Initiatives,DHS,Healthy Texas Initiatives
Health Science Center,4266,Interprofessional Education & Research,DHS,Interprofessional Education & Research
Health Science Center,4710,Office of Marketing & Communications,DHS,Office of Marketing & Communications
Health Science Center,6050,Research Administration,DHS,Research Administration
Health Science Center,4160,Risk Management,DHS,Risk Management
Health Science Center,4150,Security,DHS,Security
Health Science Center,4000,Office of the Senior Vice President & CEO,DHS,Office of the Senior Vice President & CEO
Health Science Center,3000,McAllen Campus,DHS,McAllen Campus
Health Science Center,4530,TexVet,DHS,TexVet
Institute of Biosciences & Technology,7050,Epigenetics & Disease Prevention,CIB,Epigenetics & Disease Prevention
Institute of Biosciences & Technology,7120,Translational Cancer Research,CIB,Translational Cancer Research
Institute of Biosciences & Technology,7070,Program for Animal Resources,CIB,Program for Animal Resources
Institute of Biosciences & Technology,7140,Genomics & Precision Medicine,CIB,Genomics & Precision Medicine
Institute of Biosciences & Technology,7040,Infectious & Inflammatory Diseases,CIB,Infectious & Inflammatory Diseases
Institute of Biosciences & Technology,7010,Office of the Director,CIB,Office of the Director
