name,unit_code,unit_name,code
College of Agriculture & Life Sciences,AGEC,Agricultural Economics,CLAG
College of Agriculture & Life Sciences,AGED,Agriculture Education,CLAG
College of Agriculture & Life Sciences,AGEN,Biological & Agricultural Engineering,CLAG
College of Agriculture & Life Sciences,ANSC,Animal Science,CLAG
College of Agriculture & Life Sciences,BCBP,Biochemistry & Biophysics,CLAG
College of Agriculture & Life Sciences,ENTO,Entomology,CLAG
College of Agriculture & Life Sciences,HORT,Horticultural Sciences,CLAG
College of Agriculture & Life Sciences,PLPM,Plant Pathology & Microbiology,CLAG
College of Agriculture & Life Sciences,NFSC,Nutrition,CLAG
College of Agriculture & Life Sciences,RPTS,Recreation Parks & Tourism Science,CLAG
College of Agriculture & Life Sciences,SCSC,Soil & Crop Sciences,CLAG
College of Agriculture & Life Sciences,ECCB,Ecology & Conservation Biology,CLAG
College of Agriculture & Life Sciences,RWFM,Rangeland Wildlife & Fisheries Management,CLAG
College of Agriculture & Life Sciences,FSTC,Food Science & Technology,CLAG
College of Agriculture & Life Sciences,CLAG,Office of the Dean of Agriculture & Life Sciences,CLAG
College of Architecture,ARCH,Architecture,CLAR
College of Architecture,COSC,Construction Science,CLAR
College of Architecture,LAUP,Landscape Architecture & Urban Planning,CLAR
College of Architecture,VIZA,Visualization,CLAR
College of Architecture,CLAR,Office of the Dean of Architecture,CLAR
College of Architecture,COLN,Colonias Program,CLAR
Bush School of Government & Public Service,SGPS,Bush School of Government & Public Service,SGPS
Bush School of Government & Public Service,BUDC,Bush School DC Teaching Site,SGPS
Bush School of Government & Public Service,INTA,International Affairs,SGPS
Bush School of Government & Public Service,PSAA,Public Service & Administration,SGPS
Bush School of Government & Public Service,BPCC,Presidential Conference Center,SGPS
College of Education,TLAC,Teaching Learning & Culture,CLED
College of Education,EAHR,Educational Administration & Human Resources Development,CLED
College of Education,EPSY,Educational Psychology,CLED
College of Education,HLKN,Health & Kinesiology,CLED
College of Education,CLED,Office of the Dean of Education,CLED
College of Education,CERD,Research & Development,CLED
College of Engineering,AERO,Aerospace Engineering,CLEN
College of Engineering,CHEN,Chemical Engineering,CLEN
College of Engineering,CVEN,Civil Engineering,CLEN
College of Engineering,BMEN,Biomedical Engineering,CLEN
College of Engineering,CPSC,Computer Science & Engineering,CLEN
College of Engineering,ELEN,Electrical & Computer Engineering,CLEN
College of Engineering,ENTC,Engineering Technology & Industrial Distribution,CLEN
College of Engineering,INEN,Industrial & Systems Engineering,CLEN
College of Engineering,MEEN,Mechanical Engineering,CLEN
