other_name,unit_code,unit_name,other_code
Office of the President,VPFN,Office of the Vice President For Finance & Chief Financial Officer,PRES
Office of the President,GOVT,Office of the Vice President For Government Relations and Strategic Initiatives ,PRES
Office of the President,VPSS,Vice President For Student Affairs,PRES
Office of the Provost And Executive Vice President,PERC,Private Enterprise Research Center,PROV
Office of the Provost And Executive Vice President,PPO,Public Partnership & Outreach,PROV
Office of the Provost And Executive Vice President,EIS,Enterprise Information Systems,PROV
Athletics,ATCO,Athletic Compliance,ATHL
Athletics,ATHL,Director of Athletics,ATHL
Athletics,REED,Reed Arena,ATHL
University Libraries,UPRS,Texas A&M University Press,LIBR
University Libraries,LIBR,Office of the Dean of University Libraries,LIBR
Office of the President,MASD,"Office of Risk, Ethics and Compliance",PRES
Office of the Provost And Executive Vice President,TAMIN,Institute for Neuroscience,PROV
Office of the Provost And Executive Vice President,IQSE,Institute for Quantum Science & Engineering,PROV
Office of the Provost And Executive Vice President,PCOMM,Provost Communications Office,PROV
Office of the Provost And Executive Vice President,IDIV,Office of the Vice President & Associate Provost for Diversity ,PROV
Office of the Provost And Executive Vice President,TAMIP,Innovation Partners,PROV
